"asin","product_title","average_rating","total_reviews","review_author","author_badge","badge","reviewed_product_attribute","reviewed_variant_asin","variant_review_url","review_rating","review_date","reviewed_country","review_text","review_comment_count","review_header","no_of_people_reacted_helpful","author_profile_url","url","brand","review_url","input"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","Jennifer Anderson","","Verified Purchase","Color: Black | Style: Portal TV","B07XPLJ9TZ","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07XPLJ9TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","December 26, 2019","United States","love it got it for two other family members ...kids read books back and forth on it","","love it ...multi calling feature","","https://www.amazon.com/gp/profile/amzn1.account.AF337PQHDGWRI5GR4D3XZ3VC5K6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=75&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R2FEX5QKFV0RIW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","E. Ankers","","Verified Purchase","Color: Black | Style: Portal TV","B07XPLJ9TZ","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07XPLJ9TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","April 14, 2020","United States","Best ever!","","Works great!!","","https://www.amazon.com/gp/profile/amzn1.account.AHGCWOXEQPVNWDHVEH4TFGSADNZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=51&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R1OQICQ1QBIOD8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","Ah-ahahah","","Verified Purchase","Color: Black | Style: Portal Plus","B07HFWG8S4","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07HFWG8S4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","February 22, 2021","United States","We love this!","","Perfect way to keep in touch!","","https://www.amazon.com/gp/profile/amzn1.account.AHXTFTLHFX4O22UAPO3OYNGRPZRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=13&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R3F4U0NN54X04A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","Kindle Customer","","Verified Purchase","Color: Black | Style: Portal Plus","B07HFWG8S4","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07HFWG8S4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","December 22, 2020","United States","My husband is handicapped and this is so easy for him to use and communicate with his family.","","easy to use","","https://www.amazon.com/gp/profile/amzn1.account.AE4ASCIZPXXDSZHBWQPTLS3DTLLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=27&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R4OTPUH3WOUGH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","El-Maz","","Verified Purchase","Color: Black | Style: Portal Plus","B07HFWG8S4","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07HFWG8S4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","September 14, 2020","United States","So i use Facebook messenger and whats up app a lot(daily) so this is an amazing devise for me. It is so cool, it moves when you move (moderate speed, so don't run) and it zooms in and out (for example if you were in a room talking and someone else comes in it zooms out to catch that person and vise versa when that person leaves it zooms back in on you). Also if there is a sound in the background it concentrates on your voice so the person on the other line does not get distracted. Also on messenger you can tell stories (kids stories). Now for Alexa app, its good but not perfect let me explain more so it does pull up recipes and turns on and off the lights but it doesn't save the recipe like the other Alexa apps and it doesn't show you the feed to your cameras but other than that its great and very useful to not have you holding your phone all the time and can multi task while you're chatting... i love it. My advice to you if you dont use the messenger and whats up apps regularly it wouldn't be useful to you. Hope this review helps your decision.","","Amazing and useful","","https://www.amazon.com/gp/profile/amzn1.account.AGLMY6Z5Z5LIUBZ76BEXITCBLO2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=38&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R13KMPOP3GPELT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","Will T","","Verified Purchase","Color: Black | Style: Portal TV","B07XPLJ9TZ","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07XPLJ9TZ/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","2.0","February 17, 2020","United States","This would rate a 1/10 for a low level business video conference camera. The image quality is TERRIBLE. However, tying the TV to Facebook video chats is nice for our toddler as he can see his family full size. I'd recommend just buying a video conference camera instead of this if i had it to do over again. The image is always very grainy, when it even works.","","Decent for a home webcam tied to TV but terrible quality","","https://www.amazon.com/gp/profile/amzn1.account.AFUP7NHP2TUARZLPJC5ASDA6O5AQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=59&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/RA54FVW2Y2YDE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","Eric Johnson","","Verified Purchase","Color: Black | Style: Portal Plus","B07HFWG8S4","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07HFWG8S4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","January 23, 2019","United States","Love it. Purchased it for my wife so we can see our kids and grandchildren. Great picture quality and sound. A lot of nice extras.","","Worth the money.","","https://www.amazon.com/gp/profile/amzn1.account.AG2LU5QA4LV46TKGP4RVH7FTZO4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=95&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R2TEWI4CGQIQNK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","David","","Verified Purchase","Color: Black | Style: Portal Plus","B07HFWG8S4","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07HFWG8S4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","2.0","June 18, 2019","United States","Bought one for my mom on Christmas stopped working in April. Didnt't buy the warranty. Stopped woring a month after the window closed to reach out to tech support. We all really enjoed it and then it just turned off. My mom figured she would be able to send it in to get it fixed or replaced for a fee, seeing how its such a pricey device, but no. it seems you are out of luck if you dont buy the warrany. Now i know. My advice if you dont want to pay an extral $50 on top of $280, stick with the cheaper alexas and video calls on your phone. its really not all that different.","","Stopped Working after 4 months","5","https://www.amazon.com/gp/profile/amzn1.account.AGA4YS2BY6SX6MATQUM62CHO6BQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=88&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/RL10M7TE4EU8Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","the truth hurts?","","","Color: Black | Style: Portal Plus","B07HFWG8S4","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07HFWG8S4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","March 21, 2021","United States","This is scary stuff - the 2 biggest tech behemoths that have the most data are accused of colluding under-the-table and sharing their data with each other. This allows FB to know even more private info about you and follow you everywhere you go across the web. 👎 Why? So that FB can use your personal data to target you and manipulate your purchase decisions, thoughts, and votes. 🧐 It's time to fight back and take control of your data and privacy. MeWe is here! 🥁 At MeWe, you own your data - not us. You are our only customers to serve, not data to share, target, or sell. No Ads, No Targeting, No BS! 👍🥳💯","","wow","","https://www.amazon.com/gp/profile/amzn1.account.AHK65Y3U72TIAVAVKE4I2CQGRJZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=9&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/R236P56H4FL8XS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
"B07XPDYRRJ","Facebook Portal - Smart Video Calling 10” Touch Screen Display with Alexa - Black","4.6","1024","TCB","","Verified Purchase","Color: White | Style: Portal","B07XPS5W3L","https://www.amazon.com/Facebook-Portal-Calling-Screen-Display/product-reviews/B07XPS5W3L/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","5.0","February 15, 2021","United States","Alexa and touch screen very easy to use. Have not had to use Tech Support.","","3 out of 3","","https://www.amazon.com/gp/profile/amzn1.account.AHUPYQUZ3PVB4FEINCPDD474T33A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://www.amazon.com/product-reviews/B07XPDYRRJ/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&pageNumber=14&filterByStar=all_stars&sortBy=recent&reviewerType=all_reviews","Facebook","https://www.amazon.com/gp/customer-reviews/RKZPY4DMHSKK6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07XPDYRRJ","B07XPDYRRJ"
